월일,탄생화 (月),탄생화(日),탄생화 (영문),꽃말,탄생석 (月),의미 (月),탄생석(日),의미 (日),탄생목,의미,별자리 (탄생좌),수호신,수호성,탄생색,색상 코드,색 이름,색 단어,퍼스널리티
11월 28일,루피너스 부용     머위,과꽃,China Aster,추상,토파즈,"우정, 인내, 결백한 마음, 부활",오렌지슈 브랑누 토파즈,"보호, 포용력",사시나무,야망,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#B47226,선택 / 파이러트 골드,"현실주의, 실천, 회의",충분히 확인하는 실천가
11월 29일,루피너스 부용     머위,바카리스,Baccharis,개척,토파즈,"우정, 인내, 결백한 마음, 부활",알랙샌드라이프 토르마린,사랑과 성공,사시나무,야망,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#8C6B4A,블릭 레드 / 레더,"자신, 집중력, 자력",실망이나 낙담을 싫어하는 신중파
11월 30일,루피너스 부용     머위,낙엽 마른 풀,Dry Grasses,새봄을 기다림,토파즈,"우정, 인내, 결백한 마음, 부활",스타 엔스테타이트,깊은 신뢰,사시나무,야망,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#54513E,고엽색 / 판다,"신념, 기초, 신뢰",자신의 신념을 확실히 다잡는 사람
12월,,,,,,,,,,,,,,,,,,
12월 1일,쑥국화 백일홍 꽈리,쑥국화,Tansy,평화,터키석,"성공, 승리, 지혜",아이언 오팔,배려있는 행동,사시나무,야망,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#D6C6AF,아마색 / 스타크 화이트,"문화적, 거드름, 색채",아름다움에 매력을 느끼는 예술가
12월 2일,쑥국화 백일홍 꽈리,이끼,Moss,모성애,터키석,"성공, 승리, 지혜",블랙 코랄,냉정한 기지,자작나무,영감,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#CAA980,허니 스위트 / 카메오,"태평, 향상심, 문화",안정감을 보증하는 것에 끌리는 사람
12월 3일,쑥국화 백일홍 꽈리,라벤더,Lavender,기대,터키석,"성공, 승리, 지혜",메테로라이트,영혼의 재래,자작나무,영감,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#852E19,율매색 / 번트 앰버,"본질, 실천, 실적",공상에 빠지기 보다 실펀하는 사람
12월 4일,쑥국화 백일홍 꽈리,수영,Rumex,애정,터키석,"성공, 승리, 지혜",소더라이트,잠재의식과 현재의식,자작나무,영감,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#5D5644,타우니 올리브 / 밀브룩,"개성, 의연, 사교적",대담하고 용기있는 사람
12월 5일,쑥국화 백일홍 꽈리,앰브로시아,Ambrosia,행복한 연애,터키석,"성공, 승리, 지혜",엔젤라이트,빛나는 진리,자작나무,영감,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#4E4B3A,흑자색 / 판다,"저축, 신념, 든든함",유행을 쫓지않는 교양있는 학자 타입
12월 6일,쑥국화 백일홍 꽈리,바위취,Saxifraga,절실한 사랑,터키석,"성공, 승리, 지혜",엔스테타이트,순수한 정의감,자작나무,영감,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#E5CC96,시트론 그레이 / 더블 콜로니얼 화이트,"재기종횡, 재치, 모성애",끝없는 꿈을 품는 감성이 풍부한 사람
12월 7일,쑥국화 백일홍 꽈리,양치,Fern,신뢰,터키석,"성공, 승리, 지혜",짚섬,풍요로운 대지,자작나무,영감,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#E6D89B,페일 라임 라이트 / 햄튼,"야외, 외교적, 호기",땀 흘리며 일하는 착실한 사람
12월 8일,쑥국화 백일홍 꽈리,갈대,Reed,깊은 애정,터키석,"성공, 승리, 지혜",루벨라이트,적극적인 행동,자작나무,영감,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#A69425,채소씨색 / 럭키,"일상, 태연자약, 신뢰",감정에 티가 없고 신용할 만한 사람
12월 9일,쑥국화 백일홍 꽈리,국화,Chrysanthemum,고결,터키석,"성공, 승리, 지혜",애러배스터,승리를 가져오다,자작나무,영감,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#B4935D,오일 옐로 / 발리 콘,"안정, 냉정침착, 관철",힘든 역경에도 동요하지 않는 사람
12월 10일,쑥국화 백일홍 꽈리,빨강 동백,Camellia,고결한 이성,터키석,"성공, 승리, 지혜",블루 존 플로라이트,조화가 잡힌 마음,자작나무,영감,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#AC6B25,브론즈 / 핫 토디,"보수적, 실전파, 행동력",눈에 띄는 것을 싫어하는 소극적인 사람
12월 11일,쑥국화 백일홍 꽈리,단양쑥부쟁이,Fig Marigold,애국심,터키석,"성공, 승리, 지혜",캐시터라이트,치밀한 계획,자작나무,영감,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#FBBAA8,시 셸 핑크 / 멜론,"청결, 로맨틱",몸가짐이 우아한 사람
12월 12일,쑥국화 백일홍 꽈리,목화,Cotton Plant,우수,터키석,"성공, 승리, 지혜",소프트피크 지르콘,묘약,무화과나무,감수성,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#F79383,잉어색 / 모나리자,"유니크, 결단, 적극",힘든 일도 두려워하지 않고 행동하는 아이디어맨
12월 13일,쑥국화 백일홍 꽈리,자홍색 국화,Chrysanthemum,사랑,터키석,"성공, 승리, 지혜",애퍼피라이트,영적인 통찰력,무화과나무,감수성,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#F4816F,세주색 / 살몬,"변심, 상냥함, 인간관계",남을 즐겁게 해주는 변덕쟁이
12월 14일,쑥국화 백일홍 꽈리,소나무,Pine,용감,터키석,"성공, 승리, 지혜",핑크 사파이어,가련함,무화과나무,감수성,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#EB6101,주색 / 퍼시몬,"사교적, 인맥, 완급자재",존재하는 것만으로 매력을 발산하는 사람
12월 15일,쑥국화 백일홍 꽈리,서향,Winter Daphne,불멸,터키석,"성공, 승리, 지혜",트라피체 루비,"변신, 도전",무화과나무,감수성,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#B16268,번트 오렌지 / 터키쉬 로즈,"충동적, 정서, 표현력",마음이 밖을 향하는 스포츠 타임
12월 16일,쑥국화 백일홍 꽈리,오리나무,Alder,장엄,터키석,"성공, 승리, 지혜",아쥬르말라카이트,협조성,무화과나무,감수성,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#FDCEBA,베이지 화이트 / 터프트 부쉬,"이성, 인내, 마음껏",자신의 힘으로 위기에서 벗어나는 용자
12월 17일,쑥국화 백일홍 꽈리,벚꽃난,Honey-Plant,동감,터키석,"성공, 승리, 지혜",스펙트로파이트,"정열적, 위험한 사랑",무화과나무,감수성,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#EEDCB3,베이지 / 샴페인,"밸런스, 사근함",주위 사람을 밝게 만들어주는 사람
12월 18일,쑥국화 백일홍 꽈리,세이지,Sage,가정의 덕,터키석,"성공, 승리, 지혜",토르마린 레이티드 쿼츠,대립의 결합,무화과나무,감수성,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#B4766B,브라운 골드 / 코랄 트리,"청순, 감정은폐, 꿈",걷잡을 수 없는 꿈을 쫓는 따뜻한 사람
12월 19일,쑥국화 백일홍 꽈리,스노 플레이크,Snow Flake,아름다움,터키석,"성공, 승리, 지혜",화이트 오팔,신의 수호,무화과나무,감수성,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#DEB068,조청색 / 이퀘이터,"학문, 가정, 정신적충족",완고하고 제멋대로인 사람을 싫어하는 정직한 사람
12월 20일,쑥국화 백일홍 꽈리,파인애플,Pineapple,완전무결,터키석,"성공, 승리, 지혜",헤미몰파이트,쌍극,무화과나무,감수성,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#715C61,헤더 / 스콜피온,"안정감, 신념, 활로",즐거움을 추구하는 유머러스한 사람
12월 21일,쑥국화 백일홍 꽈리,박하,Mint,덕,터키석,"성공, 승리, 지혜",블랙 문스톤,두 사람의 출발,무화과나무,감수성,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#E0B5D3,리라 / 프렌치 라일락,"고상, 품위, 명석",몸과 마음 모두 세련된 사람
12월 22일,쑥국화 백일홍 꽈리,백일홍(일년초),Zinnia,행복,터키석,"성공, 승리, 지혜",우바이트,넓은 사고,너도밤나무,창조,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#9079B6,헬리오트로프 / 퍼플 마운티 마제스티,"감성, 고귀, 젊음",로맨틱한 감정으로 가득찬 사람
12월 23일,쑥국화 백일홍 꽈리,플라타너스,Platanus,천재,터키석,"성공, 승리, 지혜",오렌지 제ㅇ드,따뜻한 고백,너도밤나무 / 사과나무,창조 / 사랑 ,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#674196,창포색 / 로얄 퍼플,"신비적, 예술적, 철학적",옛 나라에서의 생활을 꿈꾸는 사람
12월 24일,쑥국화 백일홍 꽈리,겨우살이,Loranthaceac,강한 인내심,터키석,"성공, 승리, 지혜",스토러라이트,강한 보호력,너도밤나무 / 사과나무,창조 / 사랑 ,사수자리,번개를 다루는 신들의 왕 제우스,목성,,#241B36,에그 플랜트 / 톨로피아,"보수적, 엄숙, 안심",착실하고 진실로 행동하는 야무진 사람
12월 25일,쑥국화 백일홍 꽈리,서양호랑가시나무,Holly Hock,선견지명,터키석,"성공, 승리, 지혜",크로스스톤,성스러운 계약,너도밤나무 / 사과나무,창조 / 사랑 ,염소자리,시간을 관장하는 신 크로노스,토성,,#824880,가지감색 / 트렌디 핑크,"노파심, 심미안, 세련",세상과 동떨어진 소극적인 사고의 사람
12월 26일,쑥국화 백일홍 꽈리,크리스마스 로즈,Christmas Rose,추억,터키석,"성공, 승리, 지혜",퍼플 다이아몬드,숨은 비밀,너도밤나무 / 사과나무,창조 / 사랑 ,염소자리,시간을 관장하는 신 크로노스,토성,,#E6B422,골드 / 골드 팁스,"이상, 대범, 화사함",튼튼한 보호자 타입의 야무진 사람
12월 27일,쑥국화 백일홍 꽈리,매화,Prunus Mume,맑은 마음,터키석,"성공, 승리, 지혜",몰다바이트,애정의 증거,너도밤나무 / 사과나무,창조 / 사랑 ,염소자리,시간을 관장하는 신 크로노스,토성,,#AFB293,샐로 / 버드,"위엄, 자기애, 자책",자기자신을 재산이라 여기는 자신가
12월 28일,쑥국화 백일홍 꽈리,석류,Pornegranate,원숙미,터키석,"성공, 승리, 지혜",로드크로사이트,새로운 사랑을 부르다,너도밤나무 / 사과나무,창조 / 사랑 ,염소자리,시간을 관장하는 신 크로노스,토성,,#CB981B,존미열 / 부다 골드,"긍지, 견식, 변덕",재산이 많은 통 큰 사람
12월 29일,쑥국화 백일홍 꽈리,꽈리,Winter Cherry,자연미,터키석,"성공, 승리, 지혜",파우스타이트,"부활, 생명력",너도밤나무 / 사과나무,창조 / 사랑 ,염소자리,시간을 관장하는 신 크로노스,토성,,#B2A280,머스타드 / 파블로바,"정온, 조화, 환경",자애로 가득찬 세계관의 소유자
12월 30일,쑥국화 백일홍 꽈리,납매,Carolina Allspice,자애,터키석,"성공, 승리, 지혜",커스머클러,자연의 지식,너도밤나무 / 사과나무,창조 / 사랑 ,염소자리,시간을 관장하는 신 크로노스,토성,,#B26724,어텀 리프 / 리노 샌드,"오의, 자신, 로맨틱",많은 사람들의 버팀목이 되는 사람
12월 31일,쑥국화 백일홍 꽈리,노송나무,Chamaecyparis,불멸,터키석,"성공, 승리, 지혜",야호이트,온갖 정화,너도밤나무 / 사과나무,창조 / 사랑 ,염소자리,시간을 관장하는 신 크로노스,토성,,#00AFCC,터콰이즈 블루 / 아이리스 블루,"개성, 비교, 심플",개성적인 패션을 즐기는 사람

